name,rating,n,link,director,star_1,star_2,star_3,synopsis
Forrest Gump,8.8,"1,988,787",https://www.imdb.com//title/tt0109830/,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,"Forrest Gump is a simple man with a low I.Q. who has accomplished great things in his life and been present for some of the most momentous events in recent history. Despite his mental challenges, Forrest is a loving, loyal and determined individual who goes through life with his heart in the right place. The film chronicles his journey through three decades, telling the stories of his childhood in the 1950s, his experiences in the Vietnam War in the 1960s, and his life in the following years, including his meeting with President John F. Kennedy, his involvement in the Watergate scandal, and his reunion with his childhood sweetheart, Jenny. Forrest Gump is a heartwarming and inspirational story of a man who has overcome all odds to live an extraordinary life."
Fight Club,8.8,"2,029,143",https://www.imdb.com//title/tt0137523/,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,"The movie Fight Club is about a man named Tyler Durden who starts a fight club in order to feel alive. The club becomes a way for men to release their aggression and feel empowered. However, as the club grows in popularity, it becomes clear that Tyler is using it as a way to control people. When the Narrator, who is the main character, begins to realize this, he tries to stop Tyler. This leads to a final showdown between the two men."
Inception,8.7,"2,262,650",https://www.imdb.com//title/tt1375666/,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,"Dom Cobb is a professional thief with the rare ability to enter people's dreams and steal their secrets from their subconscious. His skill has made him a coveted player in the world of corporate espionage, but it has also cost him everything he loves. Cobb gets a chance at redemption when he is offered a seemingly impossible task: planting an idea in someone's mind. If he succeeds, it will be the perfect crime, but a dangerous enemy anticipates Cobb's every move."
The Lord of the Rings: The Two Towers,8.7,"1,601,209",https://www.imdb.com//title/tt0167261/,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,"The Lord of the Rings: The Two Towers is the second movie in the Lord of the Rings trilogy. The movie opens with the members of the Fellowship of the Ring being split up. Aragorn, Legolas, and Gimli go to search for Merry and Pippin, who have been kidnapped by orcs. Meanwhile, Frodo and Sam continue their journey to destroy the One Ring in Mount Doom. They are joined by Gollum, who is secretly plotting to betray them.The movie follows the different members of the Fellowship as they all battle the forces of evil. Aragorn, Legolas, and Gimli fight their way through hordes of orcs to rescue Merry and Pippin. Frodo and Sam struggle to keep the One Ring from Gollum, who is constantly trying to steal it. In the end, Gollum finally gets his hands on the Ring and falls into the lava of Mount Doom, destroying the Ring and himself."
Star Wars: Episode V - The Empire Strikes Back,8.7,"1,246,821",https://www.imdb.com//title/tt0080684/,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,"The movie begins with Luke Skywalker, Han Solo, Princess Leia, Chewbacca, and C-3PO on the run from the Empire. They are forced to land on the planet Hoth to avoid detection, and soon find themselves under attack by the Empire's forces. Luke is separated from the others and forced to face Darth Vader, the Empire's deadliest enforcer. Vader severely injures Luke, but is forced to retreat when the rest of the rebel forces arrive. Han and Leia are forced to flee the planet, while Luke is taken to the Rebel base on the planet Dagobah to recover."
The Matrix,8.7,"1,854,149",https://www.imdb.com//title/tt0133093/,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. Morpheus awakens Neo to the real world, a ravaged wasteland where most of humanity have been captured by a race of machines that live off of the humans' body heat and electrochemical energy and who imprison their minds within an artificial reality known as the Matrix. As a rebel against the machines, Neo must return to the Matrix and confront the agents: super-powerful computer programs devoted to snuffing out Neo and the entire human rebellion."
Goodfellas,8.7,"1,112,256",https://www.imdb.com//title/tt0099685/,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,"In the movie Goodfellas, Henry Hill is a small time hoodlum who aspires to be a made man in the Mafia. He befriends Jimmy Conway and Tommy DeVito, and they start working for Paulie Cicero. They eventually move up the ranks and become involved in organized crime. However, their criminal activities eventually catch up to them and they all end up in jail."
One Flew Over the Cuckoo's Nest,8.6,"981,028",https://www.imdb.com//title/tt0073486/,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,"One Flew Over the Cuckoo's Nest is a 1975 American drama film directed by MiloÅ¡ Forman, based on the 1962 novel One Flew Over the Cuckoo's Nest by Ken Kesey. The film stars Jack Nicholson as Randle McMurphy, an antihero who is admitted to a psychiatric hospital for evaluation. There, he meets a number of colorful characters, including the tyrannical Nurse Ratched, and eventually leads the other patients in a revolt against the authorities. The film was nominated for nine Academy Awards, winning five, including Best Picture, Best Actor (Nicholson), Best Actress (Louise Fletcher), Best Director (Forman), and Best Adapted Screenplay (Lawrence Hauben and Bo Goldman)."
Se7en,8.6,"1,581,507",https://www.imdb.com//title/tt0114369/,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,"When two detectives are assigned to track down a serial killer who chooses his victims based on the seven deadly sins, they are in for the case of a lifetime. As they race against the clock to solve the murders, they realize that the killer is one step ahead of them. With time running out, they must put their differences aside and work together to catch the killer before he strikes again."
Seven Samurai,8.6,"338,242",https://www.imdb.com//title/tt0047478/,Akira Kurosawa,ToshirÃ´ Mifune,Takashi Shimura,Keiko Tsushima,"A group of seven masterless samurai are hired to defend a small village from a band of ruthless bandits. The samurai train the villagers in the art of warfare and together they build a strong defense. When the bandits finally attack, the village is ready and the samurai fight fiercely to protect their new home. In the end, only three of the seven samurai survive, but the village is saved."
It's a Wonderful Life,8.6,"443,803",https://www.imdb.com//title/tt0038650/,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,"It's a Wonderful Life is a classic holiday movie about a man, George Bailey, who is down on his luck and suicidal. An angel, Clarence, is sent to help him and show him what life would be like without him. George is shown how different his town, his family, and his life would be without him and he realizes how valuable he is. The movie ends with George being surrounded by the people who love him and who he has helped throughout his life."
The Silence of the Lambs,8.6,"1,381,487",https://www.imdb.com//title/tt0102926/,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,The Silence of the Lambs is a movie about a young FBI trainee who is tasked with catching a serial killer who is murdering young women. She enlists the help of a cannibalistic serial killer who is in prison. Together they catch the killer.
City of God,8.6,"739,729",https://www.imdb.com//title/tt0317248/,Fernando Meirelles,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,"The film is set in the favelas of Rio de Janeiro in the 1970s. It tells the story of how the drug trade began and how it quickly spiraled out of control. The film follows the lives of several young men who are caught up in the violence and bloodshed of the drug trade. As the film progresses, the violence and bloodshed become more and more prevalent, and the young men are forced to choose between survival and death."
Saving Private Ryan,8.6,"1,342,741",https://www.imdb.com//title/tt0120815/,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,"The movie is set during the invasion of Normandy in World War II. U.S. Army Rangers Captain John Miller (Tom Hanks) and his men are tasked with finding Private James Ryan (Matt Damon), who is the last surviving brother of four servicemen. The men search through the battlefields and eventually find Ryan, who has been hiding in a foxhole. They then help him escape the enemy and return him to his unit."
Life Is Beautiful,8.6,"674,810",https://www.imdb.com//title/tt0118799/,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,"In the film Life Is Beautiful, Guido and Dora live in Italy with their son, GiosuÃ¨. The family is happy until the outbreak of World War II. Dora is Jewish, and when the Nazis begin rounding up Jews in the town, Guido manages to hide Dora and GiosuÃ¨ in a basement. To keep GiosuÃ¨ from becoming too scared, Guidopretends that the whole thing is a game. They are eventually found and sent to a concentration camp, where Guido is killed. Dora and GiosuÃ¨ survive the war and are reunited."
The Green Mile,8.6,"1,253,646",https://www.imdb.com//title/tt0120689/,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,"The movie The Green Mile is set on death row in a Louisiana prison in the 1930s. Paul Edgecomb is the prison guard who is in charge of the death row inmates. One day, a new inmate named John Coffey arrives. Coffey is a giant of a man who is accused of brutally murdering two young girls. Edgecomb initially believes that Coffey is guilty, but he soon realizes that there is more to Coffey than meets the eye. Coffey has a special gift that allows him to heal people with just a touch. As Edgecomb gets to know Coffey, he begins to believe that Coffey is innocent of the crimes he has been accused of. When another inmate on death row is executed, Coffey takes the man's place on the electric chair. Edgecomb is convinced that Coffey is going to be executed for a crime he didn't commit, and he races against time to try to prove Coffey's innocence."
Star Wars,8.6,"1,318,375",https://www.imdb.com//title/tt0076759/,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,"The movie is set in a galaxy far, far away, and follows a group of rebels who fight against the evil empire."
Interstellar,8.6,"1,722,169",https://www.imdb.com//title/tt0816692/,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,A group of astronauts travel through a wormhole in space in an attempt to find a new home for humanity.
Terminator 2: Judgment Day,8.5,"1,065,466",https://www.imdb.com//title/tt0103064/,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,"Ten years after the events of Terminator, Sarah Connor (Linda Hamilton) has been preparing her son, John (Edward Furlong), for his destiny as the leader of the human resistance against Skynet, a powerful artificial intelligence system that will one day rule the world. When Sarah and John are targeted for termination by a shape-shifting Terminator (Robert Patrick), they are rescued by the original Terminator (Arnold Schwarzenegger), who has been sent back from the future to protect John. Together, the three of them must stop the T-1000 from killing John and preventing the future resistance from ever being born."
Back to the Future,8.5,"1,157,147",https://www.imdb.com//title/tt0088763/,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,"Back to the Future is a science fiction movie released in 1985. It stars Michael J. Fox as Marty McFly, a teenage boy who is accidentally sent back in time to 1955. There, he meets his parents when they were his age and tries to prevent his mother from falling in love with his father. The movie was directed by Robert Zemeckis and written by Bob Gale. It was produced by Steven Spielberg."
Spirited Away,8.5,"729,293",https://www.imdb.com//title/tt0245429/,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,"Spirited Away is a 2001 Japanese animated fantasy film written and directed by Hayao Miyazaki, animated by Studio Ghibli for Tokuma Shoten, Nippon Television Network, Dentsu, Buena Vista Home Entertainment, Tohokushinsha Film, and distributed by Toho. The film tells the story of Chihiro Ogino, a sullen ten-year-old girl who, while moving with her parents to a new neighborhood, enters the spirit world. After her parents are turned into pigs by the witch Yubaba, Chihiro takes a job working in Yubaba's bathhouse to find a way to free herself and her parents and return to the human world.The film was a critical and commercial success, becoming the highest-grossing film in Japanese history, with a worldwide gross of over $289 million. The film won the Academy Award for Best Animated Feature at the 75th Academy Awards, making it the first and only hand-drawn and non-English-language film to win in the category, and is widely considered to be one of the greatest animated films ever made."
Psycho,8.5,"651,610",https://www.imdb.com//title/tt0054215/,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,"A young woman named Marion Crane steals $40,000 from her employer and goes on the run. She ends up at a secluded motel run by a young man named Norman Bates. Soon, Marion is dead, and Norman's mother, who he keeps locked in the house, is the primary suspect. However, as the police investigate, they uncover Norman's dark secrets and realize that he is the killer."
The Pianist,8.5,"802,912",https://www.imdb.com//title/tt0253474/,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,"The Pianist follows the story of Wladyslaw Szpilman, a Polish musician, during the Nazi occupation of Poland. Szpilman is forced into hiding and struggles to survive as he witnesses the atrocities of the war. The Pianist is a powerful and moving film about the human spirit and the triumph of hope in the face of despair."
LÃ©on: The Professional,8.5,"1,123,582",https://www.imdb.com//title/tt0110413/,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,"In the movie LÃ©on: The Professional, Mathilda is a twelve-year-old girl who lives in New York City with her abusive father and drug-dealing brother. Her family is killed by corrupt DEA agents, and Mathilda narrowly escapes. She seeks refuge with LÃ©on, a professional hitman who lives next door. LÃ©on takes her in and agrees to train her as his apprentice.As Mathilda learns the trade, she also falls in love with LÃ©on. However, their relationship is complicated by the fact that LÃ©on is a cold-blooded killer. When the DEA agents who killed Mathilda's family come after her, LÃ©on must choose between his love for her and his profession."
Parasite,8.5,"737,893",https://www.imdb.com//title/tt6751668/,Bong Joon Ho,Kang-ho Song,Sun-kyun Lee,Yeo-jeong Cho,"The movie Parasite is about a family of four who live in a poverty-ridden slum. The father, Ki-taek, is unemployed and the mother, Chung-sook, is a housewife. The two children, Ki-woo and Ki-jung, are both in school. One day, Ki-woo is given the opportunity to tutor the daughter of a wealthy family, the Parks.Ki-woo begins to tutor the Park daughter, and he eventually convinces the family to hire the rest of his family to work for them as well. The family starts to live a life of luxury, but as they become more entrenched in the Park's lives, they realize that they are not as different from them as they thought.The movie explores the themes of class, family, and what it means to be human."
The Lion King,8.5,"1,020,993",https://www.imdb.com//title/tt0110357/,Roger Allers,Matthew Broderick,Jeremy Irons,James Earl Jones,"Simba is born into the royal family of the Pride Lands of Africa, heir to the throne. His uncle, Scar, covets the throne and plans to kill Simba and his father, King Mufasa. Scar's plot succeeds, and Simba is exiled. Simba grows into adulthood in the jungle, far from his home. He is eventually discovered by his childhood friend Nala, who convinces him to return home and take his rightful place as king. Simba defeats Scar and takes his place as king."
American History X,8.5,"1,094,215",https://www.imdb.com//title/tt0120586/,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,"American History X is a 1998 American crime drama film directed by Tony Kaye and written by David McKenna. It stars Edward Norton and Edward Furlong as two brothers who become involved in the neo-Nazi movement. The film was released in the United States on October 30, 1998 and was distributed by New Line Cinema. It was a commercial success, grossing $24 million worldwide, but was controversial due to its graphic depiction of violence and use of racial epithets."
Gladiator,8.5,"1,450,018",https://www.imdb.com//title/tt0172495/,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,The movie Gladiator is about a man named Maximus who was a general in the Roman army. He was betrayed by the emperor and was sent into slavery. He became a gladiator and fought in the arena. He became very popular with the people and the emperor was afraid of him. Maximus wanted to take revenge on the emperor. He fought his way to the emperor and killed him.
The Usual Suspects,8.5,"1,058,590",https://www.imdb.com//title/tt0114814/,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,"The movie follows the interrogation of Roger ""Verbal"" Kint, a small-time con man who is one of only two survivors of a shoot-out on a ship docked in San Pedro Bay. He tells the story of how he and a group of criminals were recruited by a mysterious man known as Keyser SÃ¶ze to carry out a heist. The group was betrayed, and Kint is the only one who knows who betrayed them."
The Departed,8.5,"1,282,669",https://www.imdb.com//title/tt0407887/,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,"In The Departed, an undercover cop (Leonardo DiCaprio) and a mole in the police department (Matt Damon) attempt to outwit each other in a cat-and-mouse game of crime and betrayal. As the two men try to outsmart each other, the tension mounts and the stakes get higher, until finally, one of them makes a fatal mistake."
The Prestige,8.5,"1,290,526",https://www.imdb.com//title/tt0482571/,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,"The film tells the story of two 19th-century magicians, Robert Angier and Alfred Borden, who engage in a bitter and dangerous rivalry. After Angier's wife, Julia, dies in a performance gone wrong, Borden is thought to be responsible. The two men use every trick they know to ruin each other's careers. As their feud escalates, they each attempt to create the ultimate illusion, the one that will top all others. The Prestige is a story of obsession, betrayal, and deceit."
Casablanca,8.5,"558,345",https://www.imdb.com//title/tt0034583/,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,"Rick Blaine, an American expatriate, is the proprietor of an upscale nightclub and gambling den in Casablanca during the early stages of World War II. Despite the neutrality of Morocco, the city is a hotbed of political intrigue, espionage, and romance. Rick is world-weary and cynical, but he is nonetheless compelled to help his former lover, Ilsa Lund, and her resistance-leader husband, Victor Laszlo, escape the Nazis."
Whiplash,8.5,"805,197",https://www.imdb.com//title/tt2582802/,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,"Whiplash is a 2014 American drama film written and directed by Damien Chazelle. The film stars Miles Teller as Andrew Neiman, a jazz drummer who attends the prestigious Shaffer Conservatory in New York City. J.K. Simmons plays Terence Fletcher, Neiman's music instructor who is known for his unorthodox teaching methods.The film follows Neiman as he strives to become one of the best drummers in the country under Fletcher's tutelage. The two develop a volatile relationship as Fletcher pushes Neiman to his limits, both mentally and physically. The film culminates in a final showdown between the two at a prestigious music competition.Whiplash received critical acclaim upon its release, with particular praise directed towards the performances of Teller and Simmons. The film was a commercial success, grossing over $50 million against its $3.3 million budget. It won three Academy Awards, including Best Supporting Actor for Simmons."
The Intouchables,8.5,"829,332",https://www.imdb.com//title/tt1675434/,Olivier Nakache,FranÃ§ois Cluzet,Omar Sy,Anne Le Ny,"In 2011, Parisian Phillip Lacasse (Francois Cluzet) is paralyzed from the neck down in a paragliding accident. His wife leaves him and he becomes depressed. His caretaker, Driss (Omar Sy), is a former convict from the projects who was hired only because he was the first person to show up for the job. Driss is not interested in being anyone's caretaker and only wants to get his welfare check so he can move out of his mother's house. However, he and Phillip form an unlikely friendship and Driss helps Phillip regain his will to live. The Intouchables is a heartwarming story of friendship and hope."
Modern Times,8.5,"236,673",https://www.imdb.com//title/tt0027977/,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,"Charlie Chaplin's ""Little Tramp"" character struggles to live in modern industrial society with the help of a young woman."
Once Upon a Time in the West,8.4,"322,735",https://www.imdb.com//title/tt0064116/,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,"In the late 1800s, a mysterious stranger arrives in the town of Flagstone in the American West. The stranger, known only as Harmonica, is seeking revenge against a ruthless crime lord named Frank. Harmonica enlists the help of a former outlaw named Cheyenne to take down Frank and his gang. Once Upon a Time in the West is a classic Western film that features some of the most iconic scenes in cinema history."
Hara-Kiri,8.4,"53,560",https://www.imdb.com//title/tt0056058/,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,"In Hara-Kiri, a young ronin named Hanshiro arrives at the estate of Lord Iyi begging to commit seppuku in his courtyard. Iyi's chamberlain, Kageyu, tells Hanshiro that he must first prove his worth by telling his story. Hanshiro then recounts how he came to be a ronin and how, after being unemployed for some time, he was hired by a daimyo to work as a retainer. However, the daimyo's castle was soon besieged by another lord, and Hanshiro was forced to commit seppuku. Kageyu is unimpressed by Hanshiro's story and tells him to leave. Hanshiro then reveals that he is actually the son of Iyi's former retainer, Mitsubishi, who was forced to commit seppuku after being falsely accused of treachery. Kageyu is moved by Hanshiro's story and allows him to commit seppuku in the courtyard."
Grave of the Fireflies,8.4,"265,751",https://www.imdb.com//title/tt0095327/,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,"Setsuko and her little brother, Seita, are orphaned in the final days of World War II. With their mother dead and their father away at war, the two are left to fend for themselves in war-torn Japan. With few options and little hope, they make their way to the countryside to live with an aunt. The aunt is not equipped to care for them, and the two soon find themselves on their own again. They make a home in an abandoned bomb shelter, but their situation quickly deteriorates. Seita does whatever he can to take care of his sister, but as food becomes scarce and conditions grow more desperate, he realizes that he may not be able to save her. Grave of the Fireflies is a heart-wrenching story of love, loss, and survival in the face of impossible odds."
Rear Window,8.4,"479,555",https://www.imdb.com//title/tt0047396/,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,"A photographer named Jeff is confined to a wheelchair after an accident. To pass the time, he spends his days watching the goings-on in the apartments opposite his own. One day, he sees something suspicious in one of the apartments and becomes convinced that the tenant has murdered his wife. With the help of his girlfriend, Jeff sets out to prove his theory."
Alien,8.4,"851,419",https://www.imdb.com//title/tt0078748/,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,"The movie is set in the future where a commercial ship, the Nostromo, is on its way back to Earth when it intercepts a transmission from a nearby planet. The transmission is of an unknown origin, but it appears to be a distress signal. The ship's computer, Mother, wakes the crew from their hypersleep and they investigate the transmission. They find a crashed ship on the planet and a number of its crew are still alive. They also find a strange creature that attacks one of the crew members. The creature then takes over the ship and starts to kill the crew one by one. The remaining crew members must find a way to stop the creature before it kills them all."
City Lights,8.4,"181,192",https://www.imdb.com//title/tt0021749/,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,"A tramp falls in love with a blind girl who is selling flowers on the street. He tries to earn money to buy her a present, but is constantly thwarted by the police. Eventually, he is able to give her the present, and she regains her sight. They live happily ever after."
